,sample,substrate,year,branch,point,BP,BPS,YBP,YS,old_name
Y15B05P02WD,Y15B05P02WD,inner_bark,Y15,B05,P02,B05P02,B05P02WD,Y15B05P02,Y15WD,15B05P02MSCS96
Y15B05P03BK,Y15B05P03BK,outer_bark,Y15,B05,P03,B05P03,B05P03BK,Y15B05P03,Y15BK,15B05P03BRKS160
Y15B05P03DM,Y15B05P03DM,dead_bryos,Y15,B05,P03,B05P03,B05P03DM,Y15B05P03,Y15DM,15B05P03DMOS188
Y15B05P03LM,Y15B05P03LM,live_bryos,Y15,B05,P03,B05P03,B05P03LM,Y15B05P03,Y15LM,15B05P03LMOS29
Y15B05P03WD,Y15B05P03WD,inner_bark,Y15,B05,P03,B05P03,B05P03WD,Y15B05P03,Y15WD,15B05P03MSCS97
Y15B05P04BK,Y15B05P04BK,outer_bark,Y15,B05,P04,B05P04,B05P04BK,Y15B05P04,Y15BK,15B05P04BRKS161
Y15B05P04DM,Y15B05P04DM,dead_bryos,Y15,B05,P04,B05P04,B05P04DM,Y15B05P04,Y15DM,15B05P04DMOS187
Y15B05P04LM,Y15B05P04LM,live_bryos,Y15,B05,P04,B05P04,B05P04LM,Y15B05P04,Y15LM,15B05P04LMOS30
Y15B05P08BK,Y15B05P08BK,outer_bark,Y15,B05,P08,B05P08,B05P08BK,Y15B05P08,Y15BK,15B05P08BRKS164
Y15B05P08DM,Y15B05P08DM,dead_bryos,Y15,B05,P08,B05P08,B05P08DM,Y15B05P08,Y15DM,15B05P08DMOS183
Y15B05P08LM,Y15B05P08LM,live_bryos,Y15,B05,P08,B05P08,B05P08LM,Y15B05P08,Y15LM,15B05P08LMOS32
Y15B05P13BK,Y15B05P13BK,outer_bark,Y15,B05,P13,B05P13,B05P13BK,Y15B05P13,Y15BK,15B05P30BRKS182
Y15B05P13DM,Y15B05P13DM,dead_bryos,Y15,B05,P13,B05P13,B05P13DM,Y15B05P13,Y15DM,15B05P13DMOS178
Y15B05P13LM,Y15B05P13LM,live_bryos,Y15,B05,P13,B05P13,B05P13LM,Y15B05P13,Y15LM,15B05P13LMOS35
Y15B05P14BK,Y15B05P14BK,outer_bark,Y15,B05,P14,B05P14,B05P14BK,Y15B05P14,Y15BK,15B05P14BRKS169
Y15B05P14DM,Y15B05P14DM,dead_bryos,Y15,B05,P14,B05P14,B05P14DM,Y15B05P14,Y15DM,15B05P14DMOS177
Y15B05P14LM,Y15B05P14LM,live_bryos,Y15,B05,P14,B05P14,B05P14LM,Y15B05P14,Y15LM,15B05P14LMOS36
Y15B05P15BK,Y15B05P15BK,outer_bark,Y15,B05,P15,B05P15,B05P15BK,Y15B05P15,Y15BK,15B05P15BRKS170
Y15B05P15DM,Y15B05P15DM,dead_bryos,Y15,B05,P15,B05P15,B05P15DM,Y15B05P15,Y15DM,15B05P15DMOS176
Y15B05P15LM,Y15B05P15LM,live_bryos,Y15,B05,P15,B05P15,B05P15LM,Y15B05P15,Y15LM,15B05P15LMOS37
Y15B05P20BK,Y15B05P20BK,outer_bark,Y15,B05,P20,B05P20,B05P20BK,Y15B05P20,Y15BK,15B05P20BRKS175
Y15B05P20DM,Y15B05P20DM,dead_bryos,Y15,B05,P20,B05P20,B05P20DM,Y15B05P20,Y15DM,15B05P20DMOS171
Y15B05P24BK,Y15B05P24BK,outer_bark,Y15,B05,P24,B05P24,B05P24BK,Y15B05P24,Y15BK,15B05P24BRKS178
Y15B05P24DM,Y15B05P24DM,dead_bryos,Y15,B05,P24,B05P24,B05P24DM,Y15B05P24,Y15DM,15B05P24DMOS167
Y15B05P24LM,Y15B05P24LM,live_bryos,Y15,B05,P24,B05P24,B05P24LM,Y15B05P24,Y15LM,15B05P24LMOS44
Y15B05P25BK,Y15B05P25BK,outer_bark,Y15,B05,P25,B05P25,B05P25BK,Y15B05P25,Y15BK,15B05P25BRKS179
Y15B05P25DM,Y15B05P25DM,dead_bryos,Y15,B05,P25,B05P25,B05P25DM,Y15B05P25,Y15DM,15B05P25DMOS166
Y15B05P25LM,Y15B05P25LM,live_bryos,Y15,B05,P25,B05P25,B05P25LM,Y15B05P25,Y15LM,15B05P25LMOS45
Y15B05P25WD,Y15B05P25WD,inner_bark,Y15,B05,P25,B05P25,B05P25WD,Y15B05P25,Y15WD,15B05P25MSCS113
Y15B05P26BK,Y15B05P26BK,outer_bark,Y15,B05,P26,B05P26,B05P26BK,Y15B05P26,Y15BK,15B05P26BRKS180
Y15B05P26DM,Y15B05P26DM,dead_bryos,Y15,B05,P26,B05P26,B05P26DM,Y15B05P26,Y15DM,15B05P26DMOS165
Y15B05P26LM,Y15B05P26LM,live_bryos,Y15,B05,P26,B05P26,B05P26LM,Y15B05P26,Y15LM,15B05P26LMOS46
Y15B05P27DM,Y15B05P27DM,dead_bryos,Y15,B05,P27,B05P27,B05P27DM,Y15B05P27,Y15DM,15B05P27DMOS164
Y15B05P27LM,Y15B05P27LM,live_bryos,Y15,B05,P27,B05P27,B05P27LM,Y15B05P27,Y15LM,15B05P27LMOS47
Y15B05P27WD,Y15B05P27WD,inner_bark,Y15,B05,P27,B05P27,B05P27WD,Y15B05P27,Y15WD,15B05P27MSCS121
Y16B01P01BK,Y16B01P01BK,outer_bark,Y16,B01,P01,B01P01,B01P01BK,Y16B01P01,Y16BK,Y16B1P1BRKS87
Y16B01P01DM,Y16B01P01DM,dead_bryos,Y16,B01,P01,B01P01,B01P01DM,Y16B01P01,Y16DM,Y16B1P1DMS93
Y16B01P01LM,Y16B01P01LM,live_bryos,Y16,B01,P01,B01P01,B01P01LM,Y16B01P01,Y16LM,Y16B1P1LMS136
Y16B01P02BK,Y16B01P02BK,outer_bark,Y16,B01,P02,B01P02,B01P02BK,Y16B01P02,Y16BK,Y16B1P2BRKS7
Y16B01P02DM,Y16B01P02DM,dead_bryos,Y16,B01,P02,B01P02,B01P02DM,Y16B01P02,Y16DM,Y16B1P2DMS103
Y16B01P02LM,Y16B01P02LM,live_bryos,Y16,B01,P02,B01P02,B01P02LM,Y16B01P02,Y16LM,Y16B1P2LMS146
Y16B01P03BK,Y16B01P03BK,outer_bark,Y16,B01,P03,B01P03,B01P03BK,Y16B01P03,Y16BK,Y16B1P3BRKS19
Y16B01P03DM,Y16B01P03DM,dead_bryos,Y16,B01,P03,B01P03,B01P03DM,Y16B01P03,Y16DM,Y16B1P3DMS113
Y16B01P03LM,Y16B01P03LM,live_bryos,Y16,B01,P03,B01P03,B01P03LM,Y16B01P03,Y16LM,Y16B1P3LMS156
Y16B01P03WD,Y16B01P03WD,inner_bark,Y16,B01,P03,B01P03,B01P03WD,Y16B01P03,Y16WD,Y16B1P3WDS24
Y16B01P04BK,Y16B01P04BK,outer_bark,Y16,B01,P04,B01P04,B01P04BK,Y16B01P04,Y16BK,Y16B1P4BRKS30
Y16B01P04DM,Y16B01P04DM,dead_bryos,Y16,B01,P04,B01P04,B01P04DM,Y16B01P04,Y16DM,Y16B1P4DMS132
Y16B01P08BK,Y16B01P08BK,outer_bark,Y16,B01,P08,B01P08,B01P08BK,Y16B01P08,Y16BK,Y16B1P8BRKS42
Y16B01P08DM,Y16B01P08DM,dead_bryos,Y16,B01,P08,B01P08,B01P08DM,Y16B01P08,Y16DM,Y16B1P8DMS123
Y16B01P08LM,Y16B01P08LM,live_bryos,Y16,B01,P08,B01P08,B01P08LM,Y16B01P08,Y16LM,Y16B1P8LMS166
Y16B01P13BK,Y16B01P13BK,outer_bark,Y16,B01,P13,B01P13,B01P13BK,Y16B01P13,Y16BK,Y16B1P13BRKS53
Y16B01P13DM,Y16B01P13DM,dead_bryos,Y16,B01,P13,B01P13,B01P13DM,Y16B01P13,Y16DM,Y16B1P13DMS141
